Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Pot+sand_wet_(g);Pot+sand_dry_(g);wet_(g);proportion_water_in_sample_(%);sample_weight_wet_(g);sample_weight_dry_(g);Hyphae_uns;Hyphae_sept;Total_hyphae;Count_strikes;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length;lab_analyses;Meshbag_collected;Extra
Bl-de-b2p08;Badlauchstaedt;Bad1;1;A;Control;NO;YES;52,57;51,77;0,8;0,02;10,35;10,19;1455;25;1480;50;2840,3;48,8;2889,11;12/aug;1/aug;
Bl-de-b2p08;Badlauchstaedt;Bad1;1;B;Control;NO;YES;52,57;51,77;0,8;0,02;10,84;10,68;1456;0;1456;50;2713,78;0;2713,78;12/aug;1/aug;Filter issues
Bl-de-b2p09;Badlauchstaedt;Bad1;1;A;Zinfrastructurecontrol;NO;NO;51,84;50,49;1,35;0,03;10,6;10,32;124;8;132;25;477,96;30,84;508,79;22/aug;1/aug;
Bl-de-b2p09;Badlauchstaedt;Bad1;1;B;Zinfrastructurecontrol;NO;NO;51,84;50,49;1,35;0,03;10,61;10,33;378;10;388;25;1455,62;38,51;1494,13;22/aug;1/aug;
Bl-de-b3p12;Badlauchstaedt;Bad1;1;B;Zinfrastructurecontrol;NO;NO;51,82;49,73;2,09;0,04;11,05;10,6;271;68;339;50;508,47;127,59;636,06;13/aug;1/aug;
Bl-de-b3p12;Badlauchstaedt;Bad1;1;A;Zinfrastructurecontrol;NO;NO;51,82;49,73;2,09;0,04;10,95;10,51;350;130;480;50;662,7;246,14;908,84;13/aug;1/aug;lable meshbag komt niet overeen met de plot kaart sleutel. Plot kaartsleutel is correct! Hierdoor treatment =/= treatment op de lable
Bl-de-b3p13;Badlauchstaedt;Bad1;1;B;Drought;NO;YES;53,93;52,53;1,4;0,03;10,77;10,49;381;38;419;50;722,63;72,07;794,7;13/aug;1/aug;
Bl-de-b3p13;Badlauchstaedt;Bad1;1;A;Drought;NO;YES;53,93;52,53;1,4;0,03;10,73;10,45;432;37;469;50;822,41;70,44;892,85;13/aug;1/aug;
Bl-de-b3p14;Badlauchstaedt;Bad1;1;B;Fertilisationxdrought;NO;YES;45,42;44,5;0,92;0,02;10,96;10,74;18;6;24;50;33,35;11,12;44,47;13/aug;1/aug;
Bl-de-b3p14;Badlauchstaedt;Bad1;1;A;Fertilisationxdrought;NO;YES;45,42;44,5;0,92;0,02;11,38;11,15;228;0;228;50;406,88;0;406,88;13/aug;1/aug;lable meshbag komt niet overeen met de plot kaart sleutel. Plot kaartsleutel is correct! Hierdoor treatment =/= treatment op de lable
