Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length
Nr-us-24-XXX;Niwotridge;Niw1;1;B;Control;YES;YES;338,09;105,18;443,27
Nr-us-33-XXX;Niwotridge;Niw1;1;A;Control;YES;YES;1783,95;140,84;1924,79
Nr-us-33-XXX;Niwotridge;Niw1;1;B;Control;YES;YES;1509,11;38,21;1547,32
Nr-us-38-XXW;Niwotridge;Niw1;1;A;OTC;YES;NO;698,63;181,27;879,9
Nr-us-38-XXW;Niwotridge;Niw1;1;B;OTC;YES;NO;448,48;448,48;896,96
Nr-us-6-XXX;Niwotridge;Niw1;1;A;Control;YES;YES;604,76;145,45;750,21
Nr-us-6-XXX;Niwotridge;Niw1;1;B;Control;YES;YES;390,57;61,87;452,44
Pc-fr-cont-1-1;PasdelaCasa;Pdc1;1;A;Control;YES;NO;2071,99;123,76;2195,75
Pc-fr-cont-1-1;PasdelaCasa;Pdc1;1;B;Control;YES;NO;1746,97;163,53;1910,5
Pc-fr-cont-3-2;PasdelaCasa;Pdc1;2;A;Control;YES;NO;642,39;172,07;814,46
Pc-fr-cont-3-2;PasdelaCasa;Pdc1;2;B;Control;YES;NO;254,81;137,2;392,01
Pc-fr-cont-4-1;PasdelaCasa;Pdc1;1;A;Control;YES;NO;3615,4;1026,15;4641,55
Pc-fr-cont-4-1;PasdelaCasa;Pdc1;1;B;Control;YES;NO;1494,71;280,26;1774,97
Pc-fr-cont-4-2;PasdelaCasa;Pdc1;2;A;Control;YES;NO;224,93;6541,76;6766,7
Pc-fr-cont-4-2;PasdelaCasa;Pdc1;2;B;Control;YES;NO;5656,64;1665,27;7321,91
Pc-fr-OTC-1-1;PasdelaCasa;Pdc1;1;A;OTC;YES;NO;4340,54;246,58;4587,11
Pc-fr-OTC-1-1;PasdelaCasa;Pdc1;1;B;OTC;YES;NO;1202,21;1698,17;2900,38
Pc-fr-OTC-2-1;PasdelaCasa;Pdc1;1;A;OTC;YES;NO;214,59;111,27;325,87
Pc-fr-OTC-2-1;PasdelaCasa;Pdc1;1;B;OTC;YES;NO;204,3;3,85;208,15
Pc-fr-OTC-3-2;PasdelaCasa;Pdc1;2;A;OTC;YES;NO;1583,65;281,71;1865,36
Pc-fr-OTC-3-2;PasdelaCasa;Pdc1;2;B;OTC;YES;NO;1078,83;188,61;1267,43
Pc-fr-OTC-4-2;PasdelaCasa;Pdc1;2;A;OTC;YES;NO;138,53;956,27;1094,8
Pc-fr-OTC-4-2;PasdelaCasa;Pdc1;2;B;OTC;YES;NO;1280,57;1806,99;3087,56
Pg-it-cont-B1;PassoGavia;Pga1;1;A;Control;YES;YES;1685,18;258,06;1943,24
Pg-it-cont-B1;PassoGavia;Pga1;1;B;Control;YES;YES;1043,17;888,21;1931,38
Pg-it-cont-B2-1;PassoGavia;Pga1;1;A;Control;YES;YES;3086,95;1421,28;4508,23
Pg-it-cont-B2-1;PassoGavia;Pga1;1;B;Control;YES;YES;1730,76;501,11;2231,87
Pg-it-cont-B2-2;PassoGavia;Pga1;2;A;Control;YES;YES;1862,66;793,36;2656,02
Pg-it-cont-B2-2;PassoGavia;Pga1;2;B;Control;YES;YES;776,77;87,19;863,95
Pg-it-cont-B3;PassoGavia;Pga1;1;A;Control;YES;YES;817,87;160,44;978,31
Pg-it-cont-B3;PassoGavia;Pga1;1;B;Control;YES;YES;544,54;74,59;619,13
Pg-it-cont-B4-1;PassoGavia;Pga1;1;A;Control;YES;YES;1299,01;464,2;1763,21
Pg-it-cont-B4-1;PassoGavia;Pga1;1;B;Control;YES;YES;947,71;315,9;1263,61
Pg-it-cont-B4-2;PassoGavia;Pga1;2;A;Control;YES;YES;1005,17;438,62;1443,79
Pg-it-cont-B4-2;PassoGavia;Pga1;2;B;Control;YES;YES;648,6;132,75;781,35
Pg-it-cont-B5-1;PassoGavia;Pga1;1;A;Control;YES;YES;351,49;317,84;669,33
Pg-it-cont-B5-1;PassoGavia;Pga1;1;B;Control;YES;YES;591,39;567,73;1159,12
Pg-it-cont-B5-2;PassoGavia;Pga1;2;A;Control;YES;YES;779,14;277,19;1056,34
Pg-it-cont-B5-2;PassoGavia;Pga1;2;B;Control;YES;YES;741,06;140,3;881,35
Pg-it-cont-P1;PassoGavia;Pga2;1;A;Control;YES;NO;609,74;104,41;714,15
Pg-it-cont-P1;PassoGavia;Pga2;1;B;Control;YES;NO;759,23;29,53;788,75
Pg-it-cont-P2;PassoGavia;Pga2;1;A;Control;YES;NO;149,64;44,7;194,34
Pg-it-cont-P2;PassoGavia;Pga2;1;B;Control;YES;NO;467,36;161,09;628,46
Pg-it-cont-P3;PassoGavia;Pga2;1;A;Control;YES;NO;24,68;82,27;106,95
Pg-it-cont-P3;PassoGavia;Pga2;1;B;Control;YES;NO;149,33;0;149,33
Pg-it-cont-P4;PassoGavia;Pga2;1;A;Control;YES;NO;611,06;177,54;788,59
Pg-it-cont-P4;PassoGavia;Pga2;1;A;Control;YES;NO;852,05;158,52;1010,57
Pg-it-cont-P5;PassoGavia;Pga2;1;A;Control;YES;NO;119,81;25,96;145,77
Pg-it-cont-P5;PassoGavia;Pga2;1;B;Control;YES;NO;32,37;16,18;48,55
Pg-it-cont-S1;PassoGavia;Pga3;1;A;Control;YES;NO;608,25;676,28;1284,52
Pg-it-cont-S1;PassoGavia;Pga3;1;B;Control;YES;NO;648,87;508,68;1157,55
Pg-It-cont-S2;PassoGavia;Pga3;1;A;Control;YES;NO;651,91;1161,93;1813,83
Pg-It-cont-S2;PassoGavia;Pga3;1;B;Control;YES;NO;352,4;475,15;827,55
Pg-It-cont-S3;PassoGavia;Pga3;1;A;Control;YES;NO;273,43;640,5;913,93
Pg-It-cont-S3;PassoGavia;Pga3;1;B;Control;YES;NO;375,27;178,35;553,62
Pg-it-OTC-B1;PassoGavia;Pga1;1;A;OTC;YES;NO;633,71;152,96;786,68
Pg-it-OTC-B1;PassoGavia;Pga1;1;B;OTC;YES;NO;321,41;1252,38;1573,79
Pg-it-OTC-B1-1-1yr;PassoGavia;Pga1;1;A;OTC;YES;NO;1862,53;390,77;2253,3
Pg-it-OTC-B1-1-1yr;PassoGavia;Pga1;1;B;OTC;YES;NO;4940,36;155,19;5095,55
Pg-it-OTC-B1-2-1yr;PassoGavia;Pga1;2;A;OTC;YES;NO;7931,84;1139,55;9071,38
Pg-it-OTC-B1-2-1yr;PassoGavia;Pga1;2;B;OTC;YES;NO;4030,46;570,62;4601,09
Pg-it-OTC-B2;PassoGavia;Pga1;1;A;OTC;YES;NO;1523,12;11,42;1534,54
Pg-it-OTC-B2;PassoGavia;Pga1;1;B;OTC;YES;NO;1688,77;35,1;1723,87
Pg-it-OTC-B2-1-1yr;PassoGavia;Pga1;1;A;OTC;YES;NO;4483,5;566,26;5049,76
Pg-it-OTC-B2-1-1yr;PassoGavia;Pga1;1;B;OTC;YES;NO;3251,88;882,24;4134,12
Pg-it-OTC-B2-2-1yr;PassoGavia;Pga1;2;A;OTC;YES;NO;526,62;212,16;738,78
Pg-it-OTC-B2-2-1yr;PassoGavia;Pga1;2;B;OTC;YES;NO;2523,21;1223,72;3746,93
Pg-it-OTC-B3;PassoGavia;Pga1;1;A;OTC;YES;NO;1927,79;97,14;2024,92
Pg-it-OTC-B3;PassoGavia;Pga1;1;B;OTC;YES;NO;1494,18;140,32;1634,49
Pg-it-OTC-B3-1-1yr;PassoGavia;Pga1;1;A;OTC;YES;NO;6788,47;91,48;6879,94
Pg-it-OTC-B3-1-1yr;PassoGavia;Pga1;1;B;OTC;YES;NO;2345,53;122,64;2468,17
Pg-it-OTC-B3-2-1yr;PassoGavia;Pga1;2;A;OTC;YES;NO;1055,02;634,54;1689,55
Pg-it-OTC-B3-2-1yr;PassoGavia;Pga1;2;B;OTC;YES;NO;1892,17;546,04;2438,2
Pg-it-OTC-B4;PassoGavia;Pga1;1;A;OTC;YES;NO;1064,87;203,58;1268,45
Pg-it-OTC-B4;PassoGavia;Pga1;1;B;OTC;YES;NO;556,22;166,09;722,31
Pg-it-OTC-B4-1-1yr;PassoGavia;Pga1;1;A;OTC;YES;NO;230,87;93,09;323,97
