"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_119" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Fuscolachnum" "s__misellum"
"ASV_120" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Massarinaceae" "g__Stagonospora" "s__paludosa"
"ASV_121" "k__Fungi" "p__Ascomycota" "c__Taphrinomycetes" "o__Taphrinales" "f__Protomycetaceae" "g__Protomyces" "s__macrosporus"
"ASV_122" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_123" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Teratosphaeriaceae" NA NA
"ASV_124" "k__Fungi" NA NA NA NA NA NA
"ASV_125" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Castanediellaceae" "g__Castanediella" NA
"ASV_126" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Naganishia" "s__globosa"
"ASV_127" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Phacidiales" "f__Phacidiaceae" "g__Phacidiaceae_gen_Incertae_sedis" NA
"ASV_128" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Kriegeriales" "f__Kriegeriaceae" "g__Phenoliferia" NA
"ASV_129" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" "s__equiseti"
"ASV_130" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_131" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Fusarium" NA
"ASV_132" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Clonostachys" "s__eriocamporesii"
"ASV_133" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Hygrophoraceae" "g__Hygrocybe" "s__salicis-herbaceae"
"ASV_134" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" NA NA
"ASV_135" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Lachnaceae" "g__Lachnaceae_gen_Incertae_sedis" NA
"ASV_136" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Neoascochyta" "s__triticicola"
"ASV_137" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" "g__Alpinaria" "s__rhododendri"
"ASV_138" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Hydnangiaceae" "g__Laccaria" NA
"ASV_139" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Dothideales" "f__Saccotheciaceae" "g__Aureobasidium" "s__pullulans"
"ASV_140" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Apiosporaceae" "g__Arthrinium" "s__caricicola"
"ASV_141" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Russulales" "f__Russulaceae" "g__Russula" "s__griseascens"
"ASV_142" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Beauveria" "s__asiatica"
"ASV_143" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Plenodomus" NA
"ASV_144" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" NA NA
"ASV_145" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_146" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__angusta"
"ASV_147" "k__Fungi" "p__Ascomycota" "c__Taphrinomycetes" "o__Taphrinales" "f__Taphrinaceae" "g__Taphrina" "s__gei-montani"
"ASV_148" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Mrakia" "s__frigida"
"ASV_149" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_150" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_151" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Thelephora" "s__caryophyllea"
"ASV_152" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Bionectriaceae" "g__Clonostachys" "s__rosea"
"ASV_153" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Lyophyllaceae" "g__Fibulochlamys" "s__chilensis"
