GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Zygorhizidium	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	diatoms,Chlorophyta	zoosporic-rhizomycelial_(chytrid-like)	NA	NA	NA	NA	NA	NA
Achlyella	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Achlyogeton	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Coenomyces	algal_parasite	NA	NA	no_endophytic_capacity	algal_parasite	algal_material	NA	NA	algae	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Nephridiophaga	animal_parasite	animal_decomposer	NA	no_endophytic_capacity	NA	animal_material	NA	arthropod_parasite	NA	unicellular-aflagellate_(non-yeast)	none	none	NA	NA	NA	NA
Catenochytridium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Cladochytrium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Allochytridium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Cylindrochytridium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Nephrochytrium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Diplophlyctis	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Endochytrium	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
Nowakowskiella	litter_saprotroph	algal_decomposer	NA	NA	NA	leaf_fruit_seed,algal_material	NA	NA	NA	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	NA	NA	NA	NA
