Label;Shrub;Deciduous_shrub;Evergreen_shrub;Forb;Forb_nonNfix;Forb_Nfix;Graminoid;Grass;Sedge;Rush;Bryophyte;Lichen;Bare_Rock_Litter
Ad-ad-cont-3-2;0.441176471;0.441176471;0;0.022058824;0.022058824;0;0.073529412;0.073529412;0;0.022058824;0.294117647;0.022058824;0.147058824
Ad-ad-cont-4-1;0.555555556;0.555555556;0;0.037037037;0.037037037;0;0.111111111;0.074074074;0;0.074074074;0.148148148;0;0.148148148
Ad-ad-OTC-1-1;0.17699115;0.17699115;0;0.044247788;0.044247788;0;0.07079646;0.044247788;0;0.026548673;0.17699115;0.132743363;0.398230088
Ad-ad-OTC-1-2;0.12;0.12;0;0.04;0.04;0;0.04;0.024;0;0.024;0.48;0.08;0.24
Ad-ad-OTC-2-1;0.27972028;0.27972028;0;0.020979021;0.020979021;0;0.13986014;0.13986014;0;0;0.27972028;0.13986014;0.13986014
Ad-ad-OTC-3-1;0.189873418;0.189873418;0;0.03164557;0.03164557;0;0.050632911;0.050632911;0;0.006329114;0.379746835;0.158227848;0.189873418
Ad-ad-OTC-3-2;0.12605042;0.12605042;0;0.067226891;0.067226891;0;0.067226891;0.042016807;0;0.025210084;0.25210084;0.067226891;0.420168067
Ad-ad-OTC-4-1;0.756302521;0.756302521;0;0.025210084;0.025210084;0;0.12605042;0.12605042;0;0.008403361;0;0.008403361;0.084033613
Ad-ad-OTC-4-2;0.197368421;0.197368421;0;0.013157895;0.013157895;0;0.065789474;0.039473684;0;0.039473684;0.131578947;0.263157895;0.328947368
Aw-us-cont-1;0.378378378;0.378378378;0;0;0;0;0.513513514;0.027027027;0.513513514;0;0.108108108;0;0
Aw-us-cont-13;0.090909091;0.090909091;0;0;0;0;0.818181818;0;0.818181818;0;0.090909091;0;0
Aw-us-cont-17;0.066666667;0.066666667;0;0;0;0;0.533333333;0;0.533333333;0;0.4;0;0
Aw-us-cont-9;0.1;0.1;0;0;0;0;0.8;0;0.8;0;0.1;0;0
Aw-us-OTC-1;0.076923077;0.076923077;0;0;0;0;0.730769231;0.038461538;0.730769231;0;0.192307692;0;0
Aw-us-OTC-15;0;0;0;0;0;0;1;0.0625;1;0;0;0;0
Aw-us-OTC-5;0.086956522;0.086956522;0;0;0;0;0.826086957;0;0.826086957;0;0.086956522;0;0
Aw-us-OTC-9;0.05;0.05;0;0;0;0;0.8;0;0.8;0;0.15;0;0
Fi-no-cont-10D;0.511363636;0;0.511363636;0.056818182;NA;NA;0.204545455;0.034090909;0.170454545;0;0.068181818;0.136363636;0.022727273
Fi-no-cont-1A;0.223880597;0;0.223880597;0.179104478;NA;NA;0.23880597;0.089552239;0.149253731;0;0.179104478;0.149253731;0.029850746
Fi-no-cont-2A;0.778325123;0.039408867;0.738916256;0.068965517;NA;NA;0.034482759;0.004926108;0.02955665;0;0.019704433;0.088669951;0.009852217
Fi-no-cont-3D;0.782608696;0.009661836;0.77294686;0.057971014;NA;NA;0.101449275;0.004830918;0.096618357;0;0.028985507;0.019323671;0.009661836
Fi-no-cont-5D;0.164835165;0;0.164835165;0.395604396;NA;NA;0.164835165;0.032967033;0.131868132;0;0.131868132;0.10989011;0.032967033
Fi-no-cont-6A;0.860103627;0.031088083;0.829015544;0.041450777;NA;NA;0.051813472;0.010362694;0.041450777;0;0.005181347;0.010362694;0.031088083
Fi-no-OTC-10C;0.606060606;0;0.606060606;0.252525253;NA;NA;0.131313131;0.121212121;0.01010101;0;0;0.01010101;0
Fi-no-OTC-2D;0.698924731;0;0.698924731;0.064516129;NA;NA;0.150537634;0.129032258;0.021505376;0;0.010752688;0.032258065;0.043010753
Fi-no-OTC-3A;0.630434783;0;0.630434783;0.097826087;NA;NA;0.222826087;0.005434783;0.217391304;0;0.005434783;0.010869565;0.032608696
Fi-no-OTC-4B;0.226804124;0.206185567;0.020618557;0.309278351;NA;NA;0.309278351;0;0.309278351;0;0.020618557;0.082474227;0.051546392
Fi-no-OTC-5B;0.078431373;0;0.078431373;0.784313725;NA;NA;0.049019608;0;0.049019608;0;0.039215686;0.049019608;0
Fn-pa-no-cont-1P;0.639534884;0.046511628;0.593023256;0;0;0;0;0;0;0;0.348837209;0.011627907;0
Fn-pa-no-cont-3P;0.795454545;0.015151515;0.78030303;0;0;0;0;0;0;0;0.037878788;0.015151515;0.151515152
Fn-pa-no-cont-4P;0.705479452;0.397260274;0.308219178;0;0;0;0;0;0;0;0.171232877;0.054794521;0.068493151
Fn-pa-no-cont-BP;0.884615385;0;0.884615385;0;0;0;0;0;0;0;0.067307692;0.048076923;0
Fn-pa-no-OTC-3P;0.821428571;0.142857143;0.678571429;0;0;0;0;0;0;0;0;0;0.178571429
Fn-pa-no-OTC-4P;0.927927928;0.081081081;0.846846847;0;0;0;0;0;0;0;0.045045045;0.027027027;0
